OID__x,sensor_index,last_modified,date_created,last_seen,name,location_type,firmware_version,uptime,position_rating,latitude,longitude,altitude,channel_state,channel_flags,OID__y,timestamp,humidity,temperature,pressure,pm2_5
35,145202,1675359279,1647460423,1679462302,City of Minneapolis Community Air Monitoring Project 60,0,7.02,7574,5,45.01407,-93.23424,957,3,0,5980,2023-04-01,64.514,35.987,973.351,3.687
36,145204,1675359264,1647460429,1680036188,City of Minneapolis community Air Monitoring Project 32,0,7.02,20462,5,44.96804,-93.21805,862,3,0,6003,2023-04-01,59.818,40.711,978.332,3.143
37,145234,1675359274,1647460557,1680036188,City of Minneapolis community Air Monitoring Project 54,0,7.02,30493,5,44.895805,-93.26816,845,3,0,6230,2023-04-01,66.765,41.026,979.355,0.6615
38,145242,1675359344,1647460823,1680036282,City of Minneapolis Community Air Monitoring Project 6,0,7.02,68774,5,45.00666,-93.26436,840,3,0,6312,2023-04-01,63.037,41.977,976.812,4.4615
39,145250,1675359284,1647461550,1680036213,City of Minneapolis Community Air Monitoring Project 25,0,7.02,21794,5,44.96814,-93.31692,931,3,0,6672,2023-04-01,61.716,41.136,974.93,4.3505
40,145454,1675359289,1647901561,1680036173,City of Minneapolis Community Air Monitoring Project 2,0,7.02,45896,5,44.944557,-93.238235,856,3,0,6759,2023-04-01,60.532,37.211,977.083,4.736499999999999
41,145470,1675359349,1647901714,1680036243,City of Minneapolis Community Air Monitoring Project 7,0,7.02,7503,5,44.908062,-93.23128,838,3,0,7015,2023-04-01,56.552,39.826,977.784,3.359
42,145498,1675359361,1647902475,1680036167,City of Minneapolis Community Air Monitoring Project 1,0,7.02,10828,5,44.93573,-93.278206,874,3,0,7302,2023-04-01,61.669,36.838,977.392,4.713
43,145506,1675359334,1647902670,1680036202,City of Minneapolis Community Air Monitoring Project 64,0,7.02,6918,5,44.915382,-93.25657,880,3,1,7389,2023-04-01,75.492,37.575,965.645,1.17
45,145610,1675359259,1648075716,1680017059,City of Minneapolis Community Air Monitoring Project 24,0,7.02,138,5,45.010117,-93.285255,873,3,0,7440,2023-04-01,59.554,38.332,976.536,3.9065
46,145616,1675359248,1648075739,1680036272,City of Minneapolis Community Air Monitoring Project 52,0,7.02,26683,5,44.979324,-93.302055,854,3,0,7748,2023-04-01,55.506,40.967,977.811,3.4465
47,21179,1544473241,1544471539,1680036249,Mpls-Loring Park,0,7.02,26188,5,44.965965,-93.284615,891,3,0,7805,2023-04-01,74.587,39.887,971.154,13.261
48,154751,1662926194,1657825037,1680036266,Saint Paul West Side,0,7.02,16919,5,44.9286,-93.09272,875,3,1,8005,2023-04-01,55.739,42.474,977.134,1.1145
49,23989,1562026026,1546559398,1680036214,Panoptes,0,7.02,21399,5,45.112064,-93.27751,863,3,0,8324,2023-04-01,63.532,38.945,976.849,2.4715
50,156605,1675359225,1658491775,1680036250,City of Minneapolis Community Air Monitoring Project 45,0,7.02,70831,5,44.950813,-93.247635,866,3,0,8480,2023-04-01,59.662,40.829,976.814,3.766
51,157747,1678889643,1659476089,1680036191,City of Minneapolis Community Air Monitoring Project 66,0,7.02,19054,5,45.015903,-93.25053,857,3,0,8633,2023-04-01,44.298,49.314,975.841,2.6855
52,157757,1675358948,1659476449,1680036216,City of Minneapolis Community Air Monitoring Project 3,0,7.02,2844,5,44.954296,-93.24889,856,3,0,8646,2023-04-01,68.656,34.479,970.474,1.7895
53,157787,1675358920,1659480194,1680036259,City of Minneapolis Community Air Monitoring Project 57,0,7.02,19060,5,45.03948,-93.28857,845,3,0,8697,2023-04-01,56.624,38.328,978.49,2.851
