sensor_index,last_modified,date_created,last_seen,name,location_type,firmware_version,uptime,position_rating,latitude,longitude,altitude,channel_state,channel_flags
23989,1562026026,1546559398,1679971524,Panoptes,0,7.02,20321,5,45.112064,-93.27751,863,3,0
156605,1675359225,1658491775,1679971442,City of Minneapolis Community Air Monitoring Project 45,0,7.02,69751,5,44.950813,-93.247635,866,3,0
157747,1678889643,1659476089,1679971623,City of Minneapolis Community Air Monitoring Project 66,0,7.02,17978,5,45.015903,-93.25053,857,3,0
157757,1675358948,1659476449,1679971525,City of Minneapolis Community Air Monitoring Project 3,0,7.02,1766,5,44.954296,-93.24889,856,3,0
157787,1675358920,1659480194,1679971332,City of Minneapolis Community Air Monitoring Project 57,0,7.02,17978,5,45.03948,-93.28857,845,3,0
157785,1675358905,1659480173,1679971488,City of Minneapolis Community Air Monitoring Project 59,0,7.02,236,5,44.958622,-93.28957,880,3,0
157837,1675358914,1659482691,1679971531,City of Minneapolis community Air Monitoring Project 22,0,7.02,26991,5,44.988102,-93.31042,867,3,0
157845,1675358933,1659483175,1679971529,City of Minneapolis Community Air Monitoring Project 63,0,7.02,22782,5,44.928047,-93.26914,848,3,0
157861,1675358929,1659487769,1679971596,City of Minneapolis Community Air Monitoring Project 61,0,7.02,65001,5,44.93031,-93.25844,861,3,0
157871,1675358938,1659487891,1679971515,City of Minneapolis Community Air Monitoring Project 58,0,7.02,13775,5,44.934963,-93.27042,865,3,0
157877,1675358909,1659487898,1679971516,City of Minneapolis Community Air Monitoring Project 9,0,7.02,68482,5,44.900864,-93.20838,849,3,0
157935,1675358942,1659489725,1679971611,City of Minneapolis Community Air Monitoring Project 62,0,7.02,16571,5,44.92983,-93.32441,900,3,0
162145,1663356782,1663082166,1679971562,The Avenues,0,7.03,1359,5,44.928246,-93.41132,926,3,0
31243,1558199118,1556742962,1679971632,RosevilleMN,0,7.02,4483,1,45.021385,-93.1301,949,3,0
168327,1675359151,1666640888,1679971541,City of Minneapolis Community Air Monitoring Project 23,0,7.02,16688,5,44.95249,-93.26352,872,3,0
171919,1673979324,1669661076,1679971551,Sr Mas Alto,0,7.03,16486,5,44.900303,-93.387634,891,3,0
43305,1663181456,1575665495,1679971580,NCC-1701,0,7.02,66863,5,44.899097,-93.30169,904,3,0
174451,1677184584,1675282476,1679971621,E 27th St &amp; Cedar,0,7.03,17110,5,44.953358,-93.247055,858,3,0
174855,1678022292,1676576849,1679971585,Brooklyn Center,0,7.03,16224,5,45.05947,-93.294075,849,3,0
54907,1599164459,1588883263,1679971616,MplsLoganAQI,0,7.02,52316,5,45.003338,-93.25568,853,3,0
75827,1601589805,1601577873,1679971618,Ridgewood Park,0,7.02,9232,5,44.932705,-93.14049,869,3,0
77405,1602431010,1601928760,1679971554,Hamline Midway,0,7.02,18130,5,44.966743,-93.17984,938,3,0
85113,1607282888,1603474882,1679971553,Mac-Groveland,0,7.02,425,5,44.93642,-93.17899,917,3,0
97561,1621451902,1611174225,1679517189,Hamline and Saint Clair,0,7.02,1144,3,44.9354,-93.15556,937,3,0
98259,1679430668,1612199721,1679971584,MPCA_HighlandPark,0,7.02,9010,5,44.89968,-93.17879,844,3,1
104760,1671131967,1619045120,1679971623,Science Museum of Minnesota,0,7.02,62412,5,44.942642,-93.100105,727,3,0
108274,1628093171,1623189771,1679971547,Northwood West Air Quality,0,7.02,12765,5,45.03069,-93.39377,906,3,0
108364,1628189300,1623277583,1679971565,Edina MN,0,7.02,4149,5,44.878834,-93.35441,851,3,0
108366,1628110951,1623277596,1679971513,Dakota Trail,0,7.02,42142,5,44.87984,-93.38967,889,3,0
113486,1628274672,1625862371,1679971628,Bancroft,0,7.02,63804,5,44.928123,-93.25389,821,3,0
116413,1667066761,1627341088,1679971530,Seward,0,7.02,10735,5,44.961216,-93.2424,839,3,0
126487,1656379563,1631137483,1679971596,Northwoods Berry Clan,0,7.02,34368,5,45.040394,-93.21327,939,3,0
128195,1644522903,1631832018,1679971592,Groveland Park,0,7.02,2180,5,44.93578,-93.18634,926,3,0
