timestamp,sensor_index,humidity,temperature,pressure,pm2_5,humidity_error,temperature_error,pressure_error
2023-02-27,3088,49.32,42.39,968.441,5.535,,,
2022-12-09,3088,51.125,39.365,993.775,11.072,,,
2023-02-03,3088,32.033,7.196,1005.455,0.4365,,,
2022-12-18,3088,46.182,18.951,989.357,0.637,,,
2023-03-05,3088,44.411,40.873,990.663,9.638,,,
2022-11-13,3088,35.871,38.463,996.327,0.446,,,
2022-10-23,3088,39.845,75.349,972.201,6.134500000000001,,,
2023-01-04,3088,62.39,40.904,974.7,0.957,,,
2023-03-26,3088,39.756,45.375,985.193,6.4719999999999995,,,
2022-09-04,3088,43.297,74.176,993.32,0.4255,,,
2022-09-18,3088,55.604,77.98,981.605,5.5725,,,
2023-01-24,3088,51.282,36.119,987.903,7.0200000000000005,,,
2022-09-03,3088,41.749,77.801,991.159,1.3235000000000001,,,
2022-10-15,3088,48.263,50.52,978.528,0.617,,,
2022-12-22,3088,41.244,5.368,990.302,1.0245,,,
2022-10-28,3088,38.189,62.204,995.74,4.3125,,,
2023-03-03,3088,48.605,42.556,977.982,8.257,,,
2023-02-07,3088,52.167,43.51,980.775,7.737,,,
2022-09-26,3088,35.337,64.435,986.266,0.35550000000000004,,,
2022-11-11,3088,50.84,36.576,985.052,0.126,,,
2022-09-01,3088,47.624,86.69,983.783,4.834,,,
2022-09-28,3088,42.627,58.451,1001.375,2.404,,,
2023-01-15,3088,51.641,41.804,979.084,5.722,,,
2023-03-04,3088,47.33,43.723,980.474,11.0295,,,
2022-11-30,3088,46.276,27.643,983.786,0.8724999999999999,,,
2022-12-30,3088,48.318,32.735,983.241,5.4735,,,
2023-01-29,3088,34.392,14.193,999.315,0.6595,,,
2023-03-28,3088,35.623,36.235,996.551,2.7225,,,
2022-11-26,3088,38.708,53.061,980.085,1.522,,,
2023-01-20,3088,51.186,37.205,988.256,1.288,,,
2023-03-14,3088,40.473,34.233,996.656,5.4030000000000005,,,
2022-09-10,3088,55.435,72.949,988.961,6.405,,,
2022-12-27,3088,40.475,23.723,983.622,1.268,,,
2022-11-05,3088,54.912,47.11,972.95,2.801,,,
2023-02-22,3088,51.009,26.002,981.877,0.54,,,
2023-03-17,3088,46.129,23.512,981.923,0.9015,,,
2023-02-14,3088,53.075,46.563,969.172,4.23,,,
2023-02-16,3088,40.471,26.952,992.662,0.2145,,,
2023-03-10,3088,51.355,42.313,993.784,0.856,,,
2023-04-01,3088,50.444,43.552,976.954,1.063,,,
2023-02-28,3088,45.198,42.745,978.734,6.1865000000000006,,,
2022-10-26,3088,44.383,52.305,985.905,4.4510000000000005,,,
2022-09-12,3088,43.722,72.086,986.154,7.008,,,
2022-11-29,3088,51.594,39.6,975.992,2.846,,,
2023-02-20,3088,47.949,35.111,977.213,3.6165000000000003,,,
2023-01-12,3088,55.118,36.409,990.612,15.939,,,
2023-03-09,3088,52.037,44.109,998.373,2.9285,,,
2022-12-13,3088,55.039,43.128,987.475,11.211500000000001,,,
2023-01-27,3088,50.155,30.739,974.067,3.965,,,
2022-10-24,3088,50.501,70.511,971.475,4.34,,,
2023-01-30,3088,36.868,10.692,1000.96,0.984,,,
2022-11-03,3088,45.473,70.25,980.472,7.0465,,,
2022-12-20,3088,43.178,15.979,1001.955,2.2995,,,
2023-01-08,3088,43.742,25.469,993.871,26.4855,,,
2023-02-04,3088,37.438,23.98,985.856,2.623,,,
2022-12-10,3088,55.878,42.674,991.372,6.8745,,,
2022-10-11,3088,37.217,72.706,978.497,6.2615,,,
2022-09-19,3088,52.078,74.961,985.413,9.985,,,
2023-01-14,3088,52.395,30.687,990.074,8.9785,,,
2022-12-02,3088,45.026,42.194,975.279,1.8495,,,
2023-03-16,3088,55.252,48.044,974.357,6.689,,,
2022-11-21,3088,43.629,37.799,987.467,5.426,,,
2022-09-13,3088,44.392,74.675,983.728,5.631,,,
2023-01-25,3088,53.121,38.274,982.903,13.28,,,
2022-09-05,3088,49.257,75.839,990.032,3.002,,,
2022-09-16,3088,52.275,80.138,984.387,10.022499999999999,,,
2023-03-24,3088,34.888,43.156,987.745,4.432,,,
2022-09-23,3088,50.085,63.218,989.776,0.9295,,,
2023-03-18,3088,42.347,23.71,989.223,1.089,,,
2023-01-17,3088,60.112,43.667,972.488,3.5455,,,
2022-09-17,3088,55.647,81.015,981.256,9.136,,,
2022-10-03,3088,42.182,74.594,994.996,3.458,,,
2022-11-18,3088,48.795,29.08,990.701,54.419000000000004,,,
2022-12-23,3088,42.605,0.743,987.762,0.0785,,,
2023-02-19,3088,50.66,40.259,978.572,7.806000000000001,,,
2023-03-27,3088,30.287,43.825,993.008,2.356,,,
2023-02-01,3088,35.599,22.992,991.576,6.7555,,,
2023-01-01,3088,53.942,42.17,980.359,8.882,,,
2022-10-02,3088,46.151,72.548,996.869,4.325,,,
2023-01-28,3088,40.201,17.581,991.743,0.633,,,
2022-12-05,3088,43.188,37.943,980.436,2.352,,,
2022-12-08,3088,43.837,28.125,999.079,6.8465,,,
2022-11-27,3088,46.939,47.085,979.315,8.1355,,,
2022-11-24,3088,54.525,46.331,987.268,15.6935,,,
2023-02-15,3088,56.689,41.321,969.103,2.6719999999999997,,,
2023-02-09,3088,51.507,42.106,983.603,9.4475,,,
2022-10-07,3088,48.783,54.165,1002.293,0.106,,,
2022-12-26,3088,38.569,19.561,992.82,1.7645,,,
2022-11-20,3088,41.654,29.813,990.352,1.2235,,,
2022-12-03,3088,45.521,21.555,993.332,1.0635,,,
2023-03-06,3088,59.505,43.149,988.693,0.6759999999999999,,,
2022-11-19,3088,42.451,27.148,985.557,0.538,,,
2023-01-22,3088,51.829,33.121,985.288,10.3585,,,
2022-10-04,3088,36.46,75.898,990.601,2.7045,,,
2022-10-31,3088,41.221,59.047,981.858,35.5225,,,
2022-09-30,3088,35.705,69.975,992.578,0.7825,,,
2023-02-06,3088,47.31,35.801,984.713,15.240499999999999,,,
2022-09-20,3088,47.663,84.744,980.002,7.671,,,
2022-11-23,3088,45.515,42.585,987.057,19.819499999999998,,,
2022-10-17,3088,35.644,43.267,991.817,0.0425,,,
2023-01-18,3088,53.469,43.418,984.919,3.0309999999999997,,,
2022-12-17,3088,54.315,31.434,975.603,1.361,,,
2023-03-22,3088,53.694,44.7,981.783,6.6594999999999995,,,
2023-03-20,3088,41.03,42.834,983.774,2.1935000000000002,,,
2022-12-06,3088,40.518,31.801,987.448,2.1625,,,
2023-03-19,3088,35.168,31.629,992.597,0.903,,,
2022-10-14,3088,47.5,47.739,972.805,1.3715,,,
2022-11-06,3088,48.74,51.314,973.943,2.238,,,
2023-03-07,3088,47.965,44.547,1000.473,1.1375,,,
2022-09-24,3088,58.28,66.954,980.745,4.193,,,
2022-12-29,3088,52.302,46.262,971.813,11.601500000000001,,,
2023-01-31,3088,34.63,12.214,996.96,1.9385000000000001,,,
2022-10-12,3088,47.329,65.201,973.203,4.0675,,,
2023-03-08,3088,41.318,44.583,1001.09,1.4625,,,
2022-10-06,3088,47.011,65.471,990.862,10.068999999999999,,,
2023-02-18,3088,43.488,48.357,984.975,6.545,,,
2023-01-16,3088,56.458,45.814,971.825,8.271,,,
2023-02-08,3088,46.271,43.075,989.331,4.89,,,
