timestamp,pm25,is_spike
2022-06-15 22:10:00,1.374,False
2022-06-15 02:50:00,2.326,False
2022-06-15 06:20:00,1.31,False
2022-06-15 21:00:00,1.362,False
2022-06-15 23:40:00,1.853,False
2022-06-15 00:50:00,5.209,False
2022-06-15 04:10:00,2.7960000000000003,False
2022-06-15 01:40:00,1.375,False
2022-06-15 13:40:00,0.418,False
2022-06-15 00:10:00,5.234999999999999,False
2022-06-15 00:00:00,4.922,False
2022-06-15 10:30:00,0.7825,False
2022-06-15 01:30:00,1.657,False
2022-06-15 20:40:00,2.279,False
2022-06-15 21:50:00,1.37,False
2022-06-15 15:10:00,0.8380000000000001,False
2022-06-15 14:20:00,0.519,False
2022-06-15 22:30:00,1.556,False
2022-06-15 15:50:00,0.695,False
2022-06-15 16:00:00,0.805,False
2022-06-15 19:20:00,3.218,False
2022-06-15 19:50:00,2.456,False
2022-06-15 11:20:00,0.884,False
2022-06-15 16:20:00,0.808,False
2022-06-15 09:10:00,1.178,False
2022-06-15 08:40:00,1.087,False
2022-06-15 13:30:00,0.409,False
2022-06-15 08:50:00,1.238,False
2022-06-15 07:20:00,0.604,False
2022-06-15 14:10:00,0.495,False
2022-06-15 18:50:00,4.5440000000000005,False
2022-06-15 23:20:00,1.762,False
2022-06-15 10:50:00,0.847,False
2022-06-15 12:10:00,1.217,False
2022-06-15 20:30:00,2.487,False
2022-06-15 10:20:00,0.88,False
2022-06-15 16:50:00,0.751,False
2022-06-15 13:00:00,1.804,False
2022-06-15 02:30:00,1.027,False
2022-06-15 13:50:00,0.518,False
2022-06-15 01:50:00,1.279,False
2022-06-15 03:00:00,2.0540000000000003,False
2022-06-15 05:10:00,2.591,False
2022-06-15 22:50:00,1.697,False
2022-06-15 18:00:00,2.601,False
2022-06-15 09:40:00,1.194,False
2022-06-15 09:20:00,1.272,False
2022-06-15 15:30:00,0.627,False
2022-06-15 15:40:00,0.5529999999999999,False
2022-06-15 18:10:00,3.0170000000000003,False
2022-06-15 17:30:00,1.014,False
2022-06-15 07:50:00,0.913,False
2022-06-15 11:00:00,0.863,False
2022-06-15 08:00:00,0.8200000000000001,False
2022-06-15 20:00:00,2.308,False
2022-06-15 08:30:00,1.091,False
2022-06-15 07:30:00,0.8600000000000001,False
2022-06-15 06:00:00,1.323,False
2022-06-15 12:00:00,1.273,False
2022-06-15 09:50:00,0.94,False
2022-06-15 08:20:00,0.8759999999999999,False
2022-06-15 04:30:00,2.518,False
2022-06-15 21:20:00,1.284,False
2022-06-15 10:00:00,0.885,False
2022-06-15 17:50:00,1.987,False
2022-06-15 12:40:00,1.58,False
2022-06-15 02:40:00,1.769,False
2022-06-15 10:40:00,1.014,False
2022-06-15 17:20:00,0.8819999999999999,False
2022-06-15 01:10:00,3.383,False
2022-06-15 11:40:00,1.252,False
2022-06-15 05:30:00,2.334,False
2022-06-15 23:50:00,1.475,False
2022-06-15 21:30:00,1.254,False
2022-06-15 06:40:00,0.899,False
2022-06-15 05:20:00,2.772,False
2022-06-15 16:30:00,0.7849999999999999,False
2022-06-15 12:20:00,1.215,False
2022-06-15 23:10:00,1.897,False
2022-06-15 17:40:00,1.404,False
2022-06-15 02:00:00,0.8779999999999999,False
2022-06-15 01:00:00,4.582,False
2022-06-15 23:30:00,1.754,False
